m,n,p,iterations,#fg,f,,Message,,,,,,
20,6,1.1,27,67,386.9701701517,2.89415500447752E-007,CONVERGENCE:,ZERO_GRAD_IN_CONV_,HULL,nfree,=,2,
5,8,1.1,31,76,539.9551823554,6.4089975590373E-007,CONVERGENCE:,ZERO_GRAD_IN_CONV_,HULL,nfree,=,3,
10,8,1.1,24,55,539.9551887477,4.78552264382669E-008,CONVERGENCE:,ZERO_GRAD_IN_CONV_,HULL,nfree,=,3,
20,8,1.1,27,64,539.9551820691,1.13346528179799E-007,CONVERGENCE:,ZERO_GRAD_IN_CONV_,HULL,nfree,=,3,
5,10,1.1,21,56,692.9406137596,9.74621286139415E-008,CONVERGENCE:,ZERO_GRAD_IN_CONV_,HULL,nfree,=,4,
10,10,1.1,20,46,692.9404420992,6.175255805516E-008,CONVERGENCE:,ZERO_GRAD_IN_CONV_,HULL,nfree,=,4,
20,10,1.1,20,46,692.9404428147,6.17878318416918E-008,CONVERGENCE:,ZERO_GRAD_IN_CONV_,HULL,nfree,=,4,
5,20,1.1,21,62,1457.8655567298,0.000000794,CONVERGENCE:,ZERO_GRAD_IN_CONV_,HULL,nfree,=,9,
10,20,1.1,21,66,1457.8655540526,9.67632750397062E-007,CONVERGENCE:,ZERO_GRAD_IN_CONV_,HULL,nfree,=,9,
20,20,1.1,21,66,1457.865555153,9.58261842411436E-007,CONVERGENCE:,ZERO_GRAD_IN_CONV_,HULL,nfree,=,9,
5,50,1.1,32,89,3752.641452647,8.02331830564483E-007,CONVERGENCE:,ZERO_GRAD_IN_CONV_,HULL,nfree,=,24,
10,50,1.1,27,85,3752.6415851317,3.9823911115448E-007,CONVERGENCE:,ZERO_GRAD_IN_CONV_,HULL,nfree,=,24,
20,50,1.1,26,84,3752.641585582,4.01319091482429E-007,CONVERGENCE:,ZERO_GRAD_IN_CONV_,HULL,nfree,=,25,
5,100,1.1,18,55,7577.2709657662,1.3268959480335E-007,CONVERGENCE:,ZERO_GRAD_IN_CONV_,HULL,nfree,=,49,
10,100,1.1,21,60,7577.2702314378,9.07952487491081E-008,CONVERGENCE:,ZERO_GRAD_IN_CONV_,HULL,nfree,=,49,
20,100,1.1,21,60,7577.2702496763,0.000000099,CONVERGENCE:,ZERO_GRAD_IN_CONV_,HULL,nfree,=,49,
5,200,1.1,26,75,15226.525226329,4.24213062264729E-007,CONVERGENCE:,ZERO_GRAD_IN_CONV_,HULL,nfree,=,100,
10,200,1.1,34,107,15226.5210644821,1.16374264164017E-007,CONVERGENCE:,ZERO_GRAD_IN_CONV_,HULL,nfree,=,99,
20,200,1.1,38,99,15226.5209960549,1.73299333291355E-007,CONVERGENCE:,ZERO_GRAD_IN_CONV_,HULL,nfree,=,99,
5,1000,1.1,37,91,76420.5452028769,1.7809489017612E-007,CONVERGENCE:,ZERO_GRAD_IN_CONV_,HULL,nfree,=,499,
10,1000,1.1,28,71,76420.5622580092,8.97439288988385E-007,CONVERGENCE:,ZERO_GRAD_IN_CONV_,HULL,nfree,=,499,
20,1000,1.1,38,80,76420.5887597366,1.31365563127988E-008,CONVERGENCE:,ZERO_GRAD_IN_CONV_,HULL,nfree,=,499,
5,5000,1.1,29,71,382390.666356297,2.62887618572225E-007,CONVERGENCE:,ZERO_GRAD_IN_CONV_,HULL,nfree,=,2499,
10,5000,1.1,41,86,382390.666406823,1.83725160411082E-007,CONVERGENCE:,ZERO_GRAD_IN_CONV_,HULL,nfree,=,2499,
20,5000,1.1,47,103,382390.666400311,7.3096508967634E-008,CONVERGENCE:,ZERO_GRAD_IN_CONV_,HULL,nfree,=,2499,
5,10000,1.1,26,67,764853.320336924,3.21545038565001E-007,CONVERGENCE:,ZERO_GRAD_IN_CONV_,HULL,nfree,=,4999,
10,10000,1.1,24,62,764853.320293597,5.51690594130687E-008,CONVERGENCE:,ZERO_GRAD_IN_CONV_,HULL,nfree,=,4999,
20,10000,1.1,24,62,764853.320081594,3.05812594615157E-008,CONVERGENCE:,ZERO_GRAD_IN_CONV_,HULL,nfree,=,4999,
5,2,1.01,3,3,81,0,ABNORMAL_TERMINATION_IN_LNSRCH,,,,,,
10,2,1.01,3,3,81,0,ABNORMAL_TERMINATION_IN_LNSRCH,,,,,,
20,2,1.01,3,3,81,0,ABNORMAL_TERMINATION_IN_LNSRCH,,,,,,
5,4,1.01,19,63,182.3715570266,4.72842631715764E-009,CONVERGENCE:,ZERO_GRAD_IN_CONV_,HULL,nfree,=,1,
10,4,1.01,18,97,182.3734060886,2.43806614896869E-008,CONVERGENCE:,ZERO_GRAD_IN_CONV_,HULL,nfree,=,1,
20,4,1.01,18,96,182.3732249048,2.43970006419403E-008,CONVERGENCE:,ZERO_GRAD_IN_CONV_,HULL,nfree,=,1,
5,6,1.01,32,69,283.7379322296,1.17461429900284E-008,CONVERGENCE:,ZERO_GRAD_IN_CONV_,HULL,nfree,=,2,
10,6,1.01,36,224,283.7379306178,4.02692788076154E-008,CONVERGENCE:,ZERO_GRAD_IN_CONV_,HULL,nfree,=,2,
20,6,1.01,30,82,283.7380894332,2.62333368399487E-008,CONVERGENCE:,ZERO_GRAD_IN_CONV_,HULL,nfree,=,2,
5,8,1.01,253,543,385.1068947042,9.13360066990463E-007,CONVERGENCE:,ZERO_GRAD_IN_CONV_,HULL,nfree,=,4,
10,8,1.01,23,169,385.1185912276,3.03286139709964E-008,CONVERGENCE:,ZERO_GRAD_IN_CONV_,HULL,nfree,=,3,
20,8,1.01,20,102,385.117417812,2.54167746909762E-009,CONVERGENCE:,ZERO_GRAD_IN_CONV_,HULL,nfree,=,3,
5,10,1.01,22,71,513.2408381042,2.31976482467644E-009,CONVERGENCE:,ZERO_GRAD_IN_CONV_,HULL,nfree,=,4,
10,10,1.01,27,71,513.2352039788,2.42803466221631E-009,CONVERGENCE:,ZERO_GRAD_IN_CONV_,HULL,nfree,=,4,
20,10,1.01,30,85,486.4758960861,0.000000014,CONVERGENCE:,ZERO_GRAD_IN_CONV_,HULL,nfree,=,4,
5,20,1.01,37,119,993.32068582,4.94238920369309E-008,CONVERGENCE:,ZERO_GRAD_IN_CONV_,HULL,nfree,=,9,
10,20,1.01,10000,20013,1017.2854422277,20.1843603968,STOP:,TOTAL,NUMBER,OF,ITERATIONS,REACHED,10000
20,20,1.01,10000,20013,1038.8074203155,17.9811687242,STOP:,TOTAL,NUMBER,OF,ITERATIONS,REACHED,10000
5,50,1.01,27,88,2513.8552046918,1.16533282247434E-008,CONVERGENCE:,ZERO_GRAD_IN_CONV_,HULL,nfree,=,24,
10,50,1.01,55,150,2513.8551576348,3.82192920802545E-008,CONVERGENCE:,ZERO_GRAD_IN_CONV_,HULL,nfree,=,24,
20,50,1.01,31,89,2513.855159697,3.31545457988948E-008,CONVERGENCE:,ZERO_GRAD_IN_CONV_,HULL,nfree,=,24,
5,100,1.01,51,151,5048.0792793706,8.30829567382634E-008,CONVERGENCE:,ZERO_GRAD_IN_CONV_,HULL,nfree,=,49,
10,100,1.01,43,139,5048.0795034142,4.82206079977646E-008,CONVERGENCE:,ZERO_GRAD_IN_CONV_,HULL,nfree,=,49,
20,100,1.01,28,128,5048.0798584022,5.88683010399833E-008,CONVERGENCE:,ZERO_GRAD_IN_CONV_,HULL,nfree,=,49,
5,200,1.01,31,305,10218.0196721806,36.3884269449,ABNORMAL_TERMINATION_IN_LNSRCH,,,,,,
10,200,1.01,47,151,10116.5275434197,7.2879655372613E-007,CONVERGENCE:,ZERO_GRAD_IN_CONV_,HULL,nfree,=,100,
20,200,1.01,29,123,10116.5603888173,0.000000003,CONVERGENCE:,ZERO_GRAD_IN_CONV_,HULL,nfree,=,99,
5,1000,1.01,10000,30427,50765.6056823047,82.0004649682,STOP:,TOTAL,NUMBER,OF,ITERATIONS,REACHED,10000
10,1000,1.01,74,237,50664.1134923211,2.34902167433896E-007,CONVERGENCE:,ZERO_GRAD_IN_CONV_,HULL,nfree,=,499,
20,1000,1.01,44,139,50664.1136716122,1.28334671836632E-007,CONVERGENCE:,ZERO_GRAD_IN_CONV_,HULL,nfree,=,499,
